id;name;instructions;nb_of_person;public_access
1;Shoes d'Assas Champagne-Ardenne;../fake-data/blob/hipster.txt;23087;true
2;SMTP Loan;../fake-data/blob/hipster.txt;87022;true
3;deposit Books Wooden;../fake-data/blob/hipster.txt;54890;true
4;leverage Cambridgeshire;../fake-data/blob/hipster.txt;47761;true
5;hybrid Sterling Handmade;../fake-data/blob/hipster.txt;5353;false
6;Assistant client-driven;../fake-data/blob/hipster.txt;94144;false
7;programming rich Saint-Jacques;../fake-data/blob/hipster.txt;35728;false
8;Loan;../fake-data/blob/hipster.txt;7666;false
9;quantify Poitou-Charentes;../fake-data/blob/hipster.txt;54550;false
10;regional embrace;../fake-data/blob/hipster.txt;57340;true
